"tree","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42","P43","P44","P45","TU1","TU2","TU3","TU4","terp_a_pinene_m","terp_a_pinene_p","terp_camphene_m","terp_camphene_p","terp_b_pinene_m","terp_b_pinene_p","terp_carene_p_3","terp_limonene_m","terp_limonene_p","terp_p_cymene","terp_terpinolene","terp_bornyl_acet_m","terp_b_elemene","terp_t_caryophyllene","terp_a_humulene","terp_germacrene_d","result","N_perw","C_perw","CT","phen_mgg","ox_phen_mgg","glucose_mgg","fructose_mgg","sugar_mgg","ADF_per","dry_mass_per","mois_per","P_all","TU_all"
7001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7002,0,0,0.0869133086742408,0.318546510365335,0.108796898423716,0.0647324524006195,0.0585171941028505,0,0.200439572415688,0,0.109698103993045,0,0.260725834381623,0.0859059183085155,0.0872207679207253,0.0645242015469329,0.0391199112955396,0.0633937927741382,0.35772301961511,0.11617767890211,0,0.0542225755811738,0.0777739422923985,0.0511480293942958,0.083560307957,0,0.0705307462113405,0.0707458346347231,0.14010031060749,0.0507628000234511,0.0464043179066439,0.0778883877059912,0.0377420773695815,0.159113648257554,0,0.0375147484237988,0.169785590519136,0.260840383920642,0.569896764049575,0,0,0,0.0366984629248066,0.0644250741405781,0,0,0,0,0.0117969846802268,402.583860838778,546.584005781404,522.780327014456,165.040230161749,91.6559128323926,0,568.837082859899,36.8126144758666,0,0.0477663381850567,58.624227578751,146.168995418118,0,76.6135534542166,21.8616204788421,318.152101465867,"Predicted",1.662859,50.3476868,7.8054976,17.8417931,7.0148745,37.7705193,34.2125816,67.3351288,30.8349419,44.4444444444444,55.5555555555556,1.61254292402326,-5.8964829537204
7003,0.0978927424531428,0,0.107972954462522,0.153994709452172,0.0734840939670165,0.0663674545433364,0.0522312321786601,0,0.117400868565638,0,0.135185098618647,0,0.185780940409431,0.0812671473007169,0.101227379635061,0.0498098359504574,0.0385710845802835,0.0684435222058578,0.448352666579648,0.100724732865074,0,0.0636031779565337,0.0854123798760377,0,0.103576726920231,0,0.0897378482624409,0.0563156656210481,0.145003268873005,0.0719951660749735,0,0.116022754885829,0,0.0614008425209819,0,0,0.115977648163164,0.178235004888415,0.232320437455658,0,0,0,0.0477978038312056,0.05530647883469,0,0,0,0,0,459.803903128422,1290.77462480112,326.235607053299,237.382170906503,568.839285345773,0,500.201961916379,30.0086553883755,51.3865080838429,0.0478491666617888,47.4171156486082,114.483355694152,0.0283122179745988,98.8259968411274,24.2836981218871,440.972072961086,"Predicted",1.8872169,50.9718399,8.1705551,16.9432964,7.2345386,33.6944237,30.5187187,56.7618637,33.7791634,43.6893203883495,56.3106796116505,-7.67687938884619,-0.128468408706182
7004,0,0,0.178947180989963,0.132684694919062,0.0930673075274804,0.0868269620879237,0.103005244395779,0,0.0631601066278964,0,0.11134154266718,0,0.23250153318708,0.0566157594209538,0.0981484533697407,0,0.0634304130381618,0.0848536831582991,0.303487439174564,0.0521419850931588,0.0428430703248668,0,0.104802908428105,0.0491727289085085,0.0600095101855249,0,0.0568690632457212,0.0531103393430277,0.22889859609364,0.0562309334096769,0,0.0897790050136405,0.048080858062678,0,0,0.131621339342351,0.128182801883909,0.123142216874255,0.24863728424608,0,0,0,0,0.0414879940028018,0,0,0,0,0.0126632949166532,664.32051743404,2260.40775159272,826.014265206734,316.621170991498,157.97191901552,35.355293286252,888.38657049949,47.7999052453707,60.1201690387832,0.0234869744520087,125.972592344641,131.860226595635,0,101.095514405861,26.2614992500854,909.884994276271,"Predicted",1.6361777,50.493721,7.0396867,17.266737,6.7309704,36.7179985,32.2502747,69.5244675,32.6942825,44.8970456580125,55.1029543419875,-10.8230612251479,7.56644311741102
7005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7006,0.0930963320207294,0.0397021637797555,0.127238713593844,0.265531492481673,0.0808715947099687,0.0911318397940083,0.0426473582707266,0,0.243376388963734,0,0.106135939894705,0,0.284983251635459,0.107738901402725,0.086766785473555,0.0652488748577019,0,0.085130328897001,0.275340464013544,0.113221784661275,0,0.0688599907585413,0.159872326065128,0,0.121153553077731,0,0.131802883358514,0.0647123080447894,0.216754489707914,0.0418500981536389,0.0980657651119838,0.0898978758338488,0.0427942059108358,0.0685051637496654,0,0.126684477633317,0.19468331757622,0.197324978417736,0.322502001862533,0.0409019165132378,0,0,0.0553192482892614,0.0371802891927991,0,0,0,0,0,609.923658703987,1813.39938088192,637.886767197165,209.294402659496,154.322461545251,0,532.985200211856,45.4867608709585,0,0,47.4682516325455,340.212583317142,0.01875244392888,161.457150503023,32.2605173943162,410.229650126926,"Predicted",1.5935166,50.6614037,9.9327383,18.9054012,7.7308731,36.7575951,32.8069534,62.0784454,28.6049767,48.0895915678525,51.9104084321475,10.6789450025719,0.654795405677197
7007,0.0553122801342196,0,0.114552432898386,0.224380534844413,0.0926620284923963,0.0559172050998992,0.0416739906613686,0,0.130603959751204,0,0.0870182325647888,0,0.163211452912406,0.0636220574842157,0.0795069620223044,0.0544623782987839,0,0.0840586593316398,0.261150891140462,0.165655002994489,0,0.0434724752245269,0.0447487424078676,0,0.0736825092183689,0,0.0458813961537495,0.0497078809646721,0.12837550060449,0,0.0507393297919846,0.132625899897218,0.0384422371640866,0,0.055477805046217,0,0.131156892214139,0.235472764626698,0.210982405862663,0,0,0,0.081185561433731,0.0598637579630088,0,0,0,0,0.0139456434416955,816.080538784561,617.823687919496,836.66575690276,276.421584143671,502.472144823445,32.2413175195027,604.618359015925,37.1792216261679,53.8823805073204,0.0532501582618949,53.5257468199562,224.008587533641,0.0339347430771581,153.879418385548,33.4304122640079,490.937543540272,"Predicted",1.7792279,50.8152313,9.6021652,19.6777916,8.0485458,32.0499306,28.4267483,61.3434448,32.1160126,43.2142857142857,56.7857142857143,-11.5254875871029,8.9128182792438
7008,0.054769463645742,0.0491849473710775,0.146758077957752,0.419500801379465,0.126880710985607,0.111824029353687,0.0421579034554476,0,0.472853336184638,0,0.0956593723919005,0,0.168883552365489,0.050488718285306,0.132771421404249,0,0.0474662322061039,0.105222238491762,0.364292705932262,0.165648917571855,0,0.0503843998887331,0.122156687097927,0.0471324921761197,0.114511186676609,0,0.103539681781663,0.0574301262699807,0.1667268265552,0.0635248387012957,0,0.122326800264719,0,0.0762385432416526,0.0392591946836186,0.122252106238179,0.243966267363422,0.359612067412308,0.321718615913778,0,0,0,0.0395017203226454,0.0481537087158449,0,0,0,0,0,304.081722651478,1038.83027684071,362.582332380578,192.23322796361,186.307125768766,21.2585258714844,759.565808689084,33.3370467584252,61.5304389721154,0,82.1661040960874,77.5578648952003,0,133.522682126029,29.4114918454964,137.191481584318,"Predicted",1.6282411,50.2983551,10.3855724,20.4154015,7.529026,33.6067772,31.6053238,67.9455109,31.9756966,44.7272727272727,55.2727272727273,15.3025057374534,-4.20373056321795
7009,0.040273917045897,0,0.160111276488486,0.183322289137369,0.093565957668821,0.0871662872774764,0,0,0.158670722429227,0,0.124579917930443,0,0.19329984587227,0.0441895079822141,0.0630627840811674,0.0442749603440226,0.0469641278470162,0.058367425470687,0.35759708637835,0.139149569415042,0,0.0543271778378135,0.0878003266687895,0.0413913179240478,0.113811944696007,0,0.0663984840108262,0.0394886762324365,0.174436837858563,0.0566899915630232,0,0.0571231667421321,0.0398460127378937,0,0,0.055805425169449,0.0939154176129419,0.0516936816799747,0.146197497461743,0,0,0,0.0572109273409485,0.0902219052526697,0,0,0,0,0,509.722317258407,2161.87934642877,461.728765003448,187.69753871176,96.5293725443235,0,336.455979911437,38.7350006908416,0,0,71.099675380579,301.23843967073,0.0132067306602767,121.902743445708,28.6587928265841,114.204494918117,"Predicted",1.337238,50.5754089,10.723752,21.4103508,8.2274275,40.0405006,36.274353,78.585556,32.6166649,44.8901623686724,55.1098376313276,-12.5892245981697,-3.44749736123951
7010,0.060038866554828,0.0498359829256975,0.126241513644061,0.261197471261986,0.0766279771754691,0.0930825786048575,0.0465272843934703,0,0.200413568836408,0,0.0826791897342161,0,0.192572946129175,0.0845438942270499,0.0817398666406238,0.053292005974158,0.0363009309045997,0.0867235109074535,0.282010938258101,0.104106987779845,0,0.0512957001620178,0.0992773917647761,0,0.0828692013508775,0,0.0716490682574213,0.0773591288196923,0.178972725594499,0.060297897029344,0,0.0815541880979692,0.0645043809112358,0.039590986874389,0,0.0655735697958188,0.113084347053195,0.184334841463376,0.201745845423954,0,0,0,0,0.0735593907097596,0,0,0,0,0.0131975269831432,370.185383164226,2353.10309660103,406.056752026792,175.369922563589,86.5872842478652,0,663.662189156839,34.6825333852908,0,0.0435112326300725,67.1185612759776,198.587964764498,0.0286404972610342,115.697899240297,29.4239798692329,291.085646222099,"Predicted",1.5055093,50.3869057,9.7153997,19.9286957,7.8541012,38.2344246,34.1515236,70.6503296,28.4657993,44.8275862068966,55.1724137931034,-6.17755802763567,0.748778715907666
7011,0.0420945709751753,0.0363406535402915,0.118392545038616,0.293820551728515,0.104264883043341,0.0771260645588781,0.051704463322759,0,0.105482009577248,0,0.115896881831204,0,0.209355426348284,0.074230487679821,0.0625111640473317,0,0.0492190351386129,0.090700345952596,0.327304325190044,0.0931243406295109,0,0.0422998673151446,0.185346071381858,0.0408981364803147,0.053722655684506,0,0.0761296336351059,0,0.225694122096872,0.0562094158237347,0,0.0784543041878344,0.0580290417238245,0,0,0.149260475556069,0.173945832778369,0.157628027693708,0.244557538704543,0,0,0,0,0.0487283148450206,0,0,0,0,0,1479.18591929584,480.823742105506,1275.7110974047,402.446389091678,362.366643402622,55.058344628976,0,44.6739122289925,60.4480506385723,0.0304196919881477,0,802.2367920041,0.0203083427728008,130.528708259682,30.0298184660048,579.822532567559,"Predicted",1.8064253,50.1647682,6.4543405,16.5492287,6.6346784,39.5827637,35.1175194,73.2044373,28.5558624,44.8989898989899,55.1010101010101,-6.38768574313977,10.0871633641793
7012,0.0520189888201879,0,0.18422525930295,0.251703845880127,0.0843581581645698,0.107224273481183,0.125278199848835,0,0.187551403127194,0,0.147366695051579,0,0.24395048690755,0.0870284884930117,0.112286695948591,0.0499199318593054,0,0.0848343800616097,0.258067044214159,0.11629924467249,0.0438758442855018,0.066675625250226,0.155608365608924,0,0.123002423001053,0,0.102814781836982,0.124994579939798,0.305512415384661,0.0887146985110222,0.0450481822910163,0.139539899172581,0.0775692121057464,0.0535957449654346,0.040855691224922,0.129732652416937,0.172583218842215,0.244184092995094,0.273824850614877,0.0403106578504927,0,0,0.0699953680068054,0.0804622097108953,0.0340990464441914,0,0,0.030251723291665,0.0294487187988392,1522.54796441214,437.929233373338,1054.4731066796,339.590134478983,187.520556886248,40.3099573951175,0,52.0955718701208,72.0118231408145,0,27.0204168876199,48.9459156797656,0.0254053350795604,162.685685138025,35.1065006637891,2157.67763430205,"Predicted",1.5348921,51.1308174,10.6652927,21.8794384,8.4217987,41.8260155,36.9707069,73.7158661,28.857708,45.08038585209,54.91961414791,23.3208874665153,20.0140512622326
7013,0,0,0.117276819393036,0.389064829621203,0.115461526779997,0.111114188459419,0.0502265293114521,0,0.452029074927738,0,0.112058553602096,0,0.242873392447077,0.13101736341645,0.107573345999621,0.051934490847465,0.0563946698363872,0.0731845607470693,0.396545065191412,0.054131593429803,0,0.0482293260038645,0.131621381796285,0.0749448751732362,0.089933235676544,0,0.118194849160117,0.0747681208910747,0.199901017099691,0.0395721922830367,0.0833676864462058,0.104209304912508,0,0.147407067280807,0,0.126604851810535,0.197919165302955,0.123066740601134,0.260253574849824,0,0,0,0.0414724832920529,0,0,0,0,0,0.0107477925558022,494.175285074576,1064.64580057608,565.678869155919,226.744420640478,154.105378945511,0,254.919930199919,30.5776802785313,0,0.0483625976252486,23.3317370071979,0,0,61.9354671038371,21.3378181611094,184.385200467623,"Predicted",1.6780581,49.7205048,5.7658448,14.6010895,5.4428234,40.9173164,38.7940826,79.5957413,28.9363728,47.2366148531952,52.7633851468048,6.11722319065259,-7.89786105908233
7014,0.0788482997354233,0.0442778281866072,0.102019125995738,0.384899964777357,0.116954444562415,0.0859030901763534,0.0744580612505508,0,0.238818582872191,0,0.114434967138786,0,0.208706642356119,0.102710335245111,0.0781460645016601,0,0,0.0845228883003744,0.305881910585897,0.172020324393566,0,0.0744777137823125,0.141085114185038,0.0501219084121122,0.139893131004239,0,0.102678262770312,0.101343901567256,0.236159938101552,0.0882057041971698,0.0525464252593039,0.105320717054028,0.0486310353601777,0.0613483143479567,0,0.115200935990088,0.189694714574527,0.189461649258902,0.300886225586187,0,0,0,0.0377578037015155,0.0373887931400183,0,0,0,0,0,292.448627749846,958.564657687305,268.317911211748,105.916608046372,32.2354615697882,0,242.919586026875,38.5482486520678,0,0.0455277966705238,22.979627440611,108.853786710093,0.0198626821171412,96.9253380339305,24.0532518719882,804.372006840331,"Predicted",1.5171326,51.4477615,11.1444435,19.9935436,7.9241266,40.9344482,37.6961861,70.5970383,32.2947807,45.2912621359223,54.7087378640777,10.0397130570697,-6.9754090388342
7015,0.0382117344772182,0.0359310678934167,0.133215489623997,0.233166553211642,0.0843506985063024,0.127803763530165,0.0821408580944064,0,0.263237553485497,0,0.131382583088983,0,0.311566610513448,0.0971892989436829,0.0864901460036229,0.0363844146814562,0,0.131001920918763,0.255139825772866,0.157923471049091,0,0.067851267458186,0.158180278630546,0.039353971821068,0.114539464963289,0,0.110515792740396,0.104282234499573,0.219254603345842,0.108628147562221,0.0801935602228298,0.0727998870725503,0.0447907584309732,0.0687914586667598,0,0.10096427005779,0.145148468227114,0.0912273246395606,0.207095293393965,0,0,0,0.0670610174902316,0,0,0,0,0,0.0105412916063644,431.033844209452,1019.67154848428,467.11675192591,138.682784988499,304.814179707065,0,149.049200630454,51.3205083435061,38.5705756101117,0.0402690241800828,0,42.7802655091732,0,97.9236744120277,26.0760940038276,227.330419650331,"Predicted",1.5366683,50.3895187,9.383584,19.7460175,7.6681371,36.2569237,33.9503593,68.8409805,34.3880424,44.6153846153846,55.3846153846154,8.74842459808504,-6.99165744486966
7016,0.0473577288932599,0,0.0759029004468229,0.200364458797985,0.0541178004739558,0.0438525820231554,0.0862572217629618,0,0.141347326912587,0,0.119138831437273,0,0.208578878595604,0.0584600288008374,0.0807904027868397,0.044246517335707,0.0593811570533851,0.0759046410609365,0.338685070903459,0.132641000093737,0,0.0449672263060325,0.0960702949761602,0.0401615683520915,0.0625223024373268,0,0.0393434205141418,0,0.118363180633702,0.0395608907101297,0,0.0718918387561925,0,0,0,0.0732865798204098,0.202561019082039,0.233133591646004,0.187930778548107,0,0,0,0.0580760635364739,0.0598085074205526,0,0,0,0,0.012403769836529,779.18533533028,2531.48122127186,894.505255959801,297.230242911901,167.15451417361,23.2436471543067,413.383229965525,46.6037263864114,81.4558739012632,0,66.2381329042963,388.699201821006,0.0172781408963186,134.265038988378,33.7131591178111,109.548665663775,"Predicted",1.6124473,50.1517105,5.1337466,14.6820774,5.7866411,38.340435,33.0705185,82.0862274,31.1396294,45.6476683937824,54.3523316062176,-11.7392353928007,6.23985369900224
7017,0.0555834085553837,0,0.121665792915721,0.154472154038781,0.0561798738887399,0.0975326184239871,0.0609992466893572,0,0.144633074707078,0,0.137358290749628,0.0422059701456781,0.224888007406307,0.0729387944734798,0.104592173554617,0.0487510243153411,0,0.0759215463769525,0.347884247810091,0.128001429826689,0,0.0604814028955055,0.0708316167310302,0.0430613810002207,0.143711433237751,0,0.0605417628815133,0.0694785608255074,0.104260666116788,0.0524711838913177,0.0463699823310929,0.117224762649708,0.0583044036506504,0.0392636629764697,0,0.0697739822051659,0.133193321781656,0.212607833219737,0.319604495837316,0.0388612355081136,0,0,0.0366634587260006,0.0473440105984516,0,0,0,0,0.0117112135536302,403.706591061146,1598.60090839297,409.108137399186,156.122102427206,66.4133799972112,0,309.028650610745,41.6895205138004,0,0.063495182185601,34.6956498513166,51.2616852898462,0,72.3484589751843,25.9727899472219,195.352748057909,"Predicted",1.3873837,50.0491867,7.5284963,18.2224331,6.9845719,40.9240074,37.4688568,79.56604,32.0508957,46.8005018820577,53.1994981179423,1.39862117343372,-6.72058560734711
7018,0.0508659573778,0,0.121969947281331,0.224773542381,0.115844567944132,0.0894381901634953,0.0458655973556255,0,0.248098529294609,0,0.0541091587362869,0,0.340680942696145,0.0478743825291197,0.0541691122423009,0.0404244168424898,0,0.0673308032075818,0.427434579823865,0,0,0.0439873207287593,0.083508996336734,0.0410811864805896,0.139758488383282,0,0.0422217539514235,0.131162517369709,0.184591235800125,0.036218954858037,0,0.0505036316543355,0.056472329906363,0.0507820361782612,0,0.0506051801899603,0.112077790150026,0.161480735753019,0.240715108800916,0,0,0,0,0.0421896751700044,0,0,0,0,0.0122377789108618,332.716141578671,1199.1015190749,370.953086603444,146.647322318641,46.6397134303649,0,565.633072175396,39.2599400655269,0,0,54.829587681901,42.3277783671702,0,88.2600018022351,26.7827965901323,136.340761022867,"Predicted",1.3045623,50.0269547,9.7755985,21.1416454,7.5387063,40.5020256,38.0239105,78.6009521,30.2167892,46.0821917808219,53.9178082191781,-11.8410357656164,-8.28209565800538
